title,composer,performances,win_rate,avg_points,duration_minutes,grade_level,difficulty,windrep_url
Puszta (Four Gypsi Dances),Jan Van der Roost,32,6.25,89.3046875,,,,
Incantation and Dance,John Barnes Chance,24,12.5,88.16666666666667,7.833333333333333,,,https://www.windrep.org/Incantation_and_Dance
Variations for Band,John Brakstad,24,4.166666666666666,86.04583333333333,,,,
"Armenian Dances, Part 1",Alfred Reed,23,17.391304347826086,89.54347826086956,,,,
Blue Shades,Frank Ticheli,23,13.043478260869565,90.02173913043478,10.5,,,https://www.windrep.org/Blue_Shades
Music for a Festival,Philip Sparke,23,17.391304347826086,87.84782608695652,33.833333333333336,,,https://www.windrep.org/Music_for_a_Festival
Lake of the Moon,Kevin Houben,21,0.0,88.26190476190476,,,,
A Jubilant Overture,Alfred Reed,20,5.0,87.675,,,,
Festivo,Edward Gregson,20,10.0,87.8,2.5,,,https://www.windrep.org/Festivo
Banja Luka,Jan de Haan,19,15.789473684210526,90.60526315789474,,,,
Overture to a new Age,Jan de Haan,19,0.0,87.92105263157895,,,,
Theatre Music,Philip Sparke,19,0.0,86.44736842105263,10.366666666666667,,,https://www.windrep.org/Theatre_Music
Fanfare and Choral,Egil Hovland,19,10.526315789473683,88.43842105263157,7.583333333333333,,,https://www.windrep.org/Fanfare_and_Choral
The Forest of Arden,George Lloyd,19,5.263157894736842,88.6842105263158,,,,
Dimensions,"Peter Graham, arr. Jan Segers",19,5.263157894736842,84.5,,,,https://www.windrep.org/Dimensions_of_Seven
Cartoon,Paul Hart,19,5.263157894736842,87.15789473684211,9.916666666666666,,,https://www.windrep.org/Cartoon
El Camino Real,Alfred Reed,18,5.555555555555555,88.38888888888889,10.0,,,https://www.windrep.org/El_Camino_Real
Dawn Flight,Philip Wilby,18,5.555555555555555,88.55555555555556,9.0,,,https://www.windrep.org/Dawn_Flight
"Legend, op. 81",James Barnes,18,5.555555555555555,88.91666666666667,,,,
An Outdoor Overture,Aaron Copland,18,5.555555555555555,83.83333333333333,,,,
Quatro Variazioni Musicali con Tema Populare,Kees Vlak,18,5.555555555555555,81.63888888888889,,,,
Hispanola,Jan de Haan,17,11.76470588235294,88.67647058823529,,,,
Machu Picchu - City in the sky - the mystery of the hidden sun Temple,Satoshi Yagisawa,16,12.5,91.03125,,,,
Pilatus: Mountain of Dragons,Steven Reineke,15,0.0,88.6,10.0,,,https://www.windrep.org/Pilatus:_Mountain_of_Dragons
subTERRA,Daniel Weinberger,15,26.666666666666668,88.86666666666666,,,,
